,stock_number,stock_id,stock_name,stock_pinyin,stock_abbr
249,600320,sh600320,振华重工,zhenhuazhonggong,zhzg
250,600321,sh600321,正源股份,zhengyuangufen,zygf
251,600322,sh600322,天房发展,tianfangfazhan,tffz
252,600323,sh600323,瀚蓝环境,hanlanhuanjing,hlhj
253,600325,sh600325,华发股份,huafagufen,hfgf
254,600326,sh600326,西藏天路,xizangtianlu,xztl
255,600327,sh600327,大东方,dadongfang,ddf
256,600328,sh600328,中盐化工,zhongyanhuagong,zyhg
257,600329,sh600329,中新药业,zhongxinyaoye,zxyy
258,600330,sh600330,天通股份,tiantonggufen,ttgf
259,600331,sh600331,宏达股份,hongdagufen,hdgf
260,600332,sh600332,白云山,baiyunshan,bys
261,600333,sh600333,长春燃气,changchunranqi,ccrq
262,600335,sh600335,国机汽车,guojiqiche,gjqc
263,600336,sh600336,澳柯玛,aokema,akm
264,600337,sh600337,美克家居,meikejiaju,mkjj
265,600338,sh600338,西藏珠峰,xizangzhufeng,xzzf
266,600339,sh600339,中油工程,zhongyougongcheng,zygc
267,600340,sh600340,华夏幸福,huaxiaxingfu,hxxf
268,600343,sh600343,航天动力,hangtiandongli,htdl
269,600345,sh600345,长江通信,changjiangtongxin,cjtx
270,600346,sh600346,恒力石化,henglishihua,hlsh
271,600348,sh600348,华阳股份,huayanggufen,hygf
272,600350,sh600350,山东高速,shandonggaosu,sdgs
273,600351,sh600351,亚宝药业,yabaoyaoye,ybyy
274,600352,sh600352,浙江龙盛,zhejianglongsheng,zjls
275,600353,sh600353,旭光电子,xuguangdianzi,xgdz
276,600354,sh600354,敦煌种业,dunhuangzhongye,dhzy
277,600355,sh600355,精伦电子,jinglundianzi,jldz
278,600356,sh600356,恒丰纸业,hengfengzhiye,hfzy
279,600358,sh600358,国旅联合,guolvlianhe,gllh
280,600359,sh600359,新农开发,xinnongkaifa,xnkf
281,600360,sh600360,华微电子,huaweidianzi,hwdz
282,600361,sh600361,华联综超,hualianzongchao,hlzc
283,600362,sh600362,江西铜业,jiangxitongye,jxty
284,600363,sh600363,联创光电,lianchuangguangdian,lcgd
285,600366,sh600366,宁波韵升,ningboyunsheng,nbys
286,600367,sh600367,红星发展,hongxingfazhan,hxfz
287,600368,sh600368,五洲交通,wuzhoujiaotong,wzjt
288,600369,sh600369,西南证券,xinanzhengquan,xnzq
289,600370,sh600370,三房巷,sanfangxiang,sfx
290,600371,sh600371,万向德农,wanxiangdenong,wxdn
291,600372,sh600372,中航电子,zhonghangdianzi,zhdz
292,600373,sh600373,中文传媒,zhongwenchuanmei,zwcm
293,600375,sh600375,汉马科技,hanmakeji,hmkj
294,600376,sh600376,首开股份,shoukaigufen,skgf
295,600377,sh600377,宁沪高速,ninghugaosu,nhgs
296,600379,sh600379,宝光股份,baoguanggufen,bggf
297,600380,sh600380,健康元,jiankangyuan,jky
298,600381,sh600381,青海春天,qinghaichuntian,qhct
300,600383,sh600383,金地集团,jindijituan,jdjt
302,600386,sh600386,北巴传媒,beibachuanmei,bbcm
304,600388,sh600388,龙净环保,longjinghuanbao,ljhb
305,600389,sh600389,江山股份,jiangshangufen,jsgf
306,600390,sh600390,五矿资本,wukuangziben,wkzb
307,600391,sh600391,航发科技,hangfakeji,hfkj
308,600392,sh600392,盛和资源,shengheziyuan,shzy
309,600395,sh600395,盘江股份,panjianggufen,pjgf
310,600396,sh600396,金山股份,jinshangufen,jsgf
311,600397,sh600397,安源煤业,anyuanmeiye,aymy
312,600398,sh600398,海澜之家,hailanzhijia,hlzj
313,600400,sh600400,红豆股份,hongdougufen,hdgf
315,600405,sh600405,动力源,dongliyuan,dly
316,600406,sh600406,国电南瑞,guodiannanrui,gdnr
318,600409,sh600409,三友化工,sanyouhuagong,syhg
319,600410,sh600410,华胜天成,huashengtiancheng,hstc
320,600415,sh600415,小商品城,xiaoshangpincheng,xspc
321,600416,sh600416,湘电股份,xiangdiangufen,xdgf
322,600418,sh600418,江淮汽车,jianghuaiqiche,jhqc
323,600419,sh600419,天润乳业,tianrunruye,trry
324,600420,sh600420,国药现代,guoyaoxiandai,gyxd
325,600421,sh600421,华嵘控股,huarongkonggu,hrkg
326,600422,sh600422,昆药集团,kunyaojituan,kyjt
327,600425,sh600425,青松建化,qingsongjianhua,qsjh
328,600426,sh600426,华鲁恒升,hualuhengsheng,hlhs
329,600428,sh600428,中远海特,zhongyuanhaite,zyht
330,600429,sh600429,三元股份,sanyuangufen,sygf
331,600433,sh600433,冠豪高新,guanhaogaoxin,ghgx
332,600435,sh600435,北方导航,beifangdaohang,bfdh
333,600436,sh600436,片仔癀,pianzihuang,pzh
334,600438,sh600438,通威股份,tongweigufen,twgf
335,600439,sh600439,瑞贝卡,ruibeika,rbk
336,600444,sh600444,国机通用,guojitongyong,gjty
337,600446,sh600446,金证股份,jinzhenggufen,jzgf
338,600448,sh600448,华纺股份,huafanggufen,hfgf
339,600449,sh600449,宁夏建材,ningxiajiancai,nxjc
340,600452,sh600452,涪陵电力,fulingdianli,fldl
341,600455,sh600455,博通股份,botonggufen,btgf
342,600456,sh600456,宝钛股份,baotaigufen,btgf
343,600458,sh600458,时代新材,shidaixincai,sdxc
344,600459,sh600459,贵研铂业,guiyanboye,gyby
345,600460,sh600460,士兰微,shilanwei,slw
346,600461,sh600461,洪城环境,hongchenghuanjing,hchj
348,600463,sh600463,空港股份,kongganggufen,kggf
349,600466,sh600466,蓝光发展,languangfazhan,lgfz
350,600467,sh600467,好当家,haodangjia,hdj
351,600468,sh600468,百利电气,bailidianqi,bldq
352,600469,sh600469,风神股份,fengshengufen,fsgf
353,600470,sh600470,六国化工,liuguohuagong,lghg
354,600475,sh600475,华光环能,huaguanghuanneng,hghn
355,600476,sh600476,湘邮科技,xiangyoukeji,xykj
356,600477,sh600477,杭萧钢构,hangxiaoganggou,hxgg
357,600478,sh600478,科力远,keliyuan,kly
358,600479,sh600479,千金药业,qianjinyaoye,qjyy
359,600480,sh600480,凌云股份,lingyungufen,lygf
360,600481,sh600481,双良节能,shuangliangjieneng,sljn
361,600482,sh600482,中国动力,zhongguodongli,zgdl
362,600483,sh600483,福能股份,funenggufen,fngf
363,600486,sh600486,扬农化工,yangnonghuagong,ynhg
364,600487,sh600487,亨通光电,hengtongguangdian,htgd
365,600488,sh600488,天药股份,tianyaogufen,tygf
366,600489,sh600489,中金黄金,zhongjinhuangjin,zjhj
367,600490,sh600490,鹏欣资源,pengxinziyuan,pxzy
368,600491,sh600491,龙元建设,longyuanjianshe,lyjs
369,600493,sh600493,凤竹纺织,fengzhufangzhi,fzfz
370,600495,sh600495,晋西车轴,jinxichezhou,jxcz
371,600496,sh600496,精工钢构,jinggongganggou,jggg
372,600497,sh600497,驰宏锌锗,chihongxinzhe,chxz
373,600498,sh600498,烽火通信,fenghuotongxin,fhtx
374,600499,sh600499,科达制造,kedazhizao,kdzz
375,600500,sh600500,中化国际,zhonghuaguoji,zhgj
376,600501,sh600501,航天晨光,hangtianchenguang,htcg
377,600502,sh600502,安徽建工,anhuijiangong,ahjg
378,600503,sh600503,华丽家族,hualijiazu,hljz
379,600505,sh600505,西昌电力,xichangdianli,xcdl
381,600507,sh600507,方大特钢,fangdategang,fdtg
382,600508,sh600508,上海能源,shanghainengyuan,shny
383,600509,sh600509,天富能源,tianfunengyuan,tfny
384,600510,sh600510,黑牡丹,heimudan,hmd
385,600511,sh600511,国药股份,guoyaogufen,gygf
386,600513,sh600513,联环药业,lianhuanyaoye,lhyy
387,600516,sh600516,方大炭素,fangdatansu,fdts
388,600517,sh600517,国网英大,guowangyingda,gwyd
390,600519,sh600519,贵州茅台,guizhoumaotai,gzmt
391,600520,sh600520,文一科技,wenyikeji,wykj
392,600521,sh600521,华海药业,huahaiyaoye,hhyy
393,600522,sh600522,中天科技,zhongtiankeji,ztkj
394,600523,sh600523,贵航股份,guihanggufen,ghgf
395,600525,sh600525,长园集团,zhangyuanjituan,zyjt
396,600527,sh600527,江南高纤,jiangnangaoxian,jngx
397,600528,sh600528,中铁工业,zhongtiegongye,ztgy
398,600529,sh600529,山东药玻,shandongyaobo,sdyb
399,600530,sh600530,交大昂立,jiaodaangli,jdal
400,600531,sh600531,豫光金铅,yuguangjinqian,ygjq
401,600532,sh600532,未来股份,weilaigufen,wlgf
402,600533,sh600533,栖霞建设,qixiajianshe,qxjs
403,600535,sh600535,天士力,tianshili,tsl
404,600536,sh600536,中国软件,zhongguoruanjian,zgrj
405,600537,sh600537,亿晶光电,yijingguangdian,yjgd
406,600538,sh600538,国发股份,guofagufen,gfgf
407,600540,sh600540,新赛股份,xinsaigufen,xsgf
408,600543,sh600543,莫高股份,mogaogufen,mggf
409,600545,sh600545,卓郎智能,zhuolangzhineng,zlzn
410,600546,sh600546,山煤国际,shanmeiguoji,smgj
411,600547,sh600547,山东黄金,shandonghuangjin,sdhj
412,600548,sh600548,深高速,shengaosu,sgs
413,600549,sh600549,厦门钨业,xiamenwuye,xmwy
414,600550,sh600550,保变电气,baobiandianqi,bbdq
415,600551,sh600551,时代出版,shidaichuban,sdcb
416,600552,sh600552,凯盛科技,kaishengkeji,kskj
418,600556,sh600556,天下秀,tianxiaxiu,txx
419,600557,sh600557,康缘药业,kangyuanyaoye,kyyy
420,600558,sh600558,大西洋,daxiyang,dxy
421,600559,sh600559,老白干酒,laobaiganjiu,lbgj
422,600560,sh600560,金自天正,jinzitianzheng,jztz
423,600561,sh600561,江西长运,jiangxizhangyun,jxzy
424,600562,sh600562,国睿科技,guoruikeji,grkj
